"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"UCBT","17407392","13982695PE","",,"AN","","BT","BRBBB-FC","",-49.520793539,-3.87816055799999,0,0
"UCBT","17318977","15166116PE","",,"AN","","BT","BRBBB-FC","",-49.435223345,-3.59258887200002,0,0
"UCBT","17318985","15166119PE","",,"AN","","BT","BRBBB-FC","",-49.435223345,-3.59258887200002,0,0
"UCBT","17911058","15168167PE","",,"AN","","BT","BRBBB-FC","",-49.425639674,-4.03602446299999,0,0
"UCBT","17911244","8012487PE","",,"AN","","BT","BRBBB-FC","",-49.387229578,-4.11309496500002,0,0
"UCBT","17911295","8012488PE","",,"AN","","BT","BRBBB-FC","",-49.386940366,-4.11524476699998,0,0
"UCBT","17407465","13982694PE","",,"AN","","BT","BRBBB-FC","",-49.527233553,-3.87698055200002,0,0
"UCBT","17408208","13808996PE","",,"AN","","BT","BRBBB-FC","",-49.497493434,-3.98046072,0,0
"UCBT","17408259","13808995PE","",,"AN","","BT","BRBBB-FC","",-49.511513457,-3.99167073900003,0,0
"UCBT","17320998","13808689PE","",,"AN","","BT","BRBBB-FC","",-49.317583173,-3.58337013099998,0,0
